Day,Sunrise,Sunset,Summertime,Daytime,Nighttime
158,03:01,22:36,TRUE,19h 35m,4h 25m
159,03:00,22:38,TRUE,19h 38m,4h 22m
160,02:59,22:39,TRUE,19h 40m,4h 20m
161,02:58,22:41,TRUE,19h 43m,4h 17m
162,02:57,22:42,TRUE,19h 45m,4h 15m
163,02:56,22:43,TRUE,19h 47m,4h 13m
164,02:55,22:45,TRUE,19h 50m,4h 10m
165,02:55,22:46,TRUE,19h 51m,4h 9m
166,02:54,22:47,TRUE,19h 53m,4h 7m
167,02:54,22:47,TRUE,19h 53m,4h 7m
168,02:54,22:48,TRUE,19h 54m,4h 6m
169,02:54,22:49,TRUE,19h 55m,4h 5m
170,02:53,22:49,TRUE,19h 56m,4h 4m
171,02:54,22:49,TRUE,19h 55m,4h 5m
172,02:54,22:50,TRUE,19h 56m,4h 4m
173,02:54,22:50,TRUE,19h 56m,4h 4m
174,02:55,22:50,TRUE,19h 55m,4h 5m
175,02:55,22:49,TRUE,19h 54m,4h 6m
176,02:56,22:49,TRUE,19h 53m,4h 7m
177,02:57,22:49,TRUE,19h 52m,4h 8m
178,02:58,22:48,TRUE,19h 50m,4h 10m
179,02:59,22:47,TRUE,19h 48m,4h 12m
180,03:00,22:47,TRUE,19h 47m,4h 13m
181,03:11,22:24,TRUE,19h 13m,4h 47m
182,03:04,22:44,TRUE,19h 40m,4h 20m
183,03:05,22:43,TRUE,19h 38m,4h 22m
184,03:07,22:42,TRUE,19h 35m,4h 25m
185,03:08,22:40,TRUE,19h 32m,4h 28m
186,03:10,22:39,TRUE,19h 29m,4h 31m
187,03:12,22:37,TRUE,19h 25m,4h 35m
188,03:14,22:36,TRUE,19h 22m,4h 38m
189,03:16,22:34,TRUE,19h 18m,4h 42m
190,03:18,22:32,TRUE,19h 14m,4h 46m
191,03:20,22:30,TRUE,19h 10m,4h 50m
192,03:23,22:28,TRUE,19h 5m,4h 55m
193,03:25,22:26,TRUE,19h 1m,4h 59m
194,03:27,22:24,TRUE,18h 57m,5h 3m
195,03:30,22:22,TRUE,18h 52m,5h 8m
196,03:32,22:20,TRUE,18h 48m,5h 12m
197,03:34,22:18,TRUE,18h 44m,5h 16m
198,03:37,22:15,TRUE,18h 38m,5h 22m
199,03:39,22:13,TRUE,18h 34m,5h 26m
200,03:42,22:10,TRUE,18h 28m,5h 32m
201,03:45,22:08,TRUE,18h 23m,5h 37m
202,03:47,22:05,TRUE,18h 18m,5h 42m
203,03:50,22:03,TRUE,18h 13m,5h 47m
204,03:53,22:00,TRUE,18h 7m,5h 53m
205,03:55,21:57,TRUE,18h 2m,5h 58m
206,03:58,21:55,TRUE,17h 57m,6h 3m
207,04:01,21:52,TRUE,17h 51m,6h 9m
208,04:03,21:49,TRUE,17h 46m,6h 14m
209,04:06,21:46,TRUE,17h 40m,6h 20m
210,04:09,21:44,TRUE,17h 35m,6h 25m
211,04:12,21:41,TRUE,17h 29m,6h 31m
212,04:14,21:38,TRUE,17h 24m,6h 36m
213,04:16,21:36,TRUE,17h 20m,6h 40m
214,04:19,21:33,TRUE,17h 14m,6h 46m
215,04:22,21:30,TRUE,17h 8m,6h 52m
216,04:24,21:27,TRUE,17h 3m,6h 57m
217,04:27,21:24,TRUE,16h 57m,7h 3m
218,04:30,21:21,TRUE,16h 51m,7h 9m
219,04:33,21:18,TRUE,16h 45m,7h 15m
220,04:35,21:15,TRUE,16h 40m,7h 20m
221,04:38,21:12,TRUE,16h 34m,7h 26m
222,04:41,21:09,TRUE,16h 28m,7h 32m
223,04:44,21:06,TRUE,16h 22m,7h 38m
224,04:47,21:03,TRUE,16h 16m,7h 44m
225,04:49,21:00,TRUE,16h 11m,7h 49m
226,04:52,20:57,TRUE,16h 5m,7h 55m
227,04:55,20:53,TRUE,15h 58m,8h 2m
228,04:58,20:50,TRUE,15h 52m,8h 8m
229,05:00,20:47,TRUE,15h 47m,8h 13m
230,05:03,20:44,TRUE,15h 41m,8h 19m
231,05:06,20:41,TRUE,15h 35m,8h 25m
232,05:09,20:37,TRUE,15h 28m,8h 32m
233,05:11,20:34,TRUE,15h 23m,8h 37m
234,05:14,20:31,TRUE,15h 17m,8h 43m
235,05:17,20:28,TRUE,15h 11m,8h 49m
236,05:19,20:24,TRUE,15h 5m,8h 55m
237,05:22,20:21,TRUE,14h 59m,9h 1m
238,05:25,20:18,TRUE,14h 53m,9h 7m
239,05:28,20:15,TRUE,14h 47m,9h 13m
240,05:30,20:11,TRUE,14h 41m,9h 19m
241,05:33,20:08,TRUE,14h 35m,9h 25m
242,05:36,20:05,TRUE,14h 29m,9h 31m
243,05:38,20:01,TRUE,14h 23m,9h 37m
244,05:40,20:00,TRUE,14h 20m,9h 40m
245,05:42,19:56,TRUE,14h 14m,9h 46m
246,05:45,19:53,TRUE,14h 8m,9h 52m
247,05:48,19:50,TRUE,14h 2m,9h 58m
248,05:50,19:46,TRUE,13h 56m,10h 4m
249,05:53,19:43,TRUE,13h 50m,10h 10m
250,05:56,19:40,TRUE,13h 44m,10h 16m
251,05:58,19:36,TRUE,13h 38m,10h 22m
252,06:01,19:33,TRUE,13h 32m,10h 28m
253,06:04,19:30,TRUE,13h 26m,10h 34m
254,06:06,19:26,TRUE,13h 20m,10h 40m
255,06:09,19:23,TRUE,13h 14m,10h 46m
256,06:11,19:20,TRUE,13h 9m,10h 51m
257,06:14,19:16,TRUE,13h 2m,10h 58m
258,06:17,19:13,TRUE,12h 56m,11h 4m
259,06:19,19:10,TRUE,12h 51m,11h 9m
260,06:22,19:06,TRUE,12h 44m,11h 16m
261,06:25,19:03,TRUE,12h 38m,11h 22m
262,06:27,19:00,TRUE,12h 33m,11h 27m
263,06:30,18:56,TRUE,12h 26m,11h 34m
264,06:32,18:53,TRUE,12h 21m,11h 39m
265,06:35,18:50,TRUE,12h 15m,11h 45m
266,06:38,18:46,TRUE,12h 8m,11h 52m
267,06:40,18:43,TRUE,12h 3m,11h 57m
268,06:43,18:40,TRUE,11h 57m,12h 3m
269,06:46,18:36,TRUE,11h 50m,12h 10m
270,06:48,18:33,TRUE,11h 45m,12h 15m
271,06:51,18:30,TRUE,11h 39m,12h 21m
272,06:54,18:27,TRUE,11h 33m,12h 27m
273,06:56,18:23,TRUE,11h 27m,12h 33m
274,07:00,18:18,TRUE,11h 18m,12h 42m
275,07:03,18:15,TRUE,11h 12m,12h 48m
276,07:06,18:11,TRUE,11h 5m,12h 55m
277,07:08,18:08,TRUE,11h 0m,13h 0m
278,07:11,18:05,TRUE,10h 54m,13h 6m
279,07:14,18:02,TRUE,10h 48m,13h 12m
280,07:16,17:58,TRUE,10h 42m,13h 18m
281,07:19,17:55,TRUE,10h 36m,13h 24m
282,07:22,17:52,TRUE,10h 30m,13h 30m
283,07:25,17:49,TRUE,10h 24m,13h 36m
284,07:27,17:45,TRUE,10h 18m,13h 42m
285,07:30,17:42,TRUE,10h 12m,13h 48m
286,07:33,17:39,TRUE,10h 6m,13h 54m
287,07:35,17:36,TRUE,10h 1m,13h 59m
288,07:38,17:33,TRUE,9h 55m,14h 5m
289,07:41,17:29,TRUE,9h 48m,14h 12m
290,07:44,17:26,TRUE,9h 42m,14h 18m
291,07:47,17:23,TRUE,9h 36m,14h 24m
292,07:49,17:20,TRUE,9h 31m,14h 29m
293,07:52,17:17,TRUE,9h 25m,14h 35m
294,07:55,17:14,TRUE,9h 19m,14h 41m
295,07:58,17:10,TRUE,9h 12m,14h 48m
296,08:01,17:07,TRUE,9h 6m,14h 54m
297,08:04,17:04,TRUE,9h 0m,15h 0m
298,08:06,17:01,TRUE,8h 55m,15h 5m
299,08:09,16:58,TRUE,8h 49m,15h 11m
300,08:12,16:55,TRUE,8h 43m,15h 17m
301,08:15,16:52,TRUE,8h 37m,15h 23m
302,08:18,16:49,TRUE,8h 31m,15h 29m
303,08:21,16:46,TRUE,8h 25m,15h 35m
304,07:24,15:43,FALSE,8h 19m,15h 41m
305,07:25,15:41,FALSE,8h 16m,15h 44m
306,07:28,15:39,FALSE,8h 11m,15h 49m
307,07:31,15:36,FALSE,8h 5m,15h 55m
308,07:34,15:33,FALSE,7h 59m,16h 1m
309,07:37,15:30,FALSE,7h 53m,16h 7m
310,07:40,15:27,FALSE,7h 47m,16h 13m
311,07:43,15:24,FALSE,7h 41m,16h 19m
312,07:46,15:21,FALSE,7h 35m,16h 25m
313,07:49,15:19,FALSE,7h 30m,16h 30m
314,07:51,15:16,FALSE,7h 25m,16h 35m
315,07:54,15:13,FALSE,7h 19m,16h 41m
316,07:57,15:11,FALSE,7h 14m,16h 46m
317,08:00,15:08,FALSE,7h 8m,16h 52m
318,08:03,15:05,FALSE,7h 2m,16h 58m
319,08:06,15:03,FALSE,6h 57m,17h 3m
320,08:09,15:00,FALSE,6h 51m,17h 9m
321,08:12,14:58,FALSE,6h 46m,17h 14m
322,08:14,14:56,FALSE,6h 42m,17h 18m
323,08:17,14:53,FALSE,6h 36m,17h 24m
324,08:20,14:51,FALSE,6h 31m,17h 29m
325,08:23,14:49,FALSE,6h 26m,17h 34m
326,08:26,14:46,FALSE,6h 20m,17h 40m
327,08:28,14:44,FALSE,6h 16m,17h 44m
328,08:31,14:42,FALSE,6h 11m,17h 49m
329,08:34,14:40,FALSE,6h 6m,17h 54m
330,08:36,14:38,FALSE,6h 2m,17h 58m
331,08:39,14:36,FALSE,5h 57m,18h 3m
332,08:41,14:34,FALSE,5h 53m,18h 7m
333,08:44,14:33,FALSE,5h 49m,18h 11m
334,08:46,14:31,FALSE,5h 45m,18h 15m
335,08:50,14:28,FALSE,5h 38m,18h 22m
336,08:52,14:27,FALSE,5h 35m,18h 25m
337,08:54,14:25,FALSE,5h 31m,18h 29m
338,08:57,14:24,FALSE,5h 27m,18h 33m
339,08:59,14:23,FALSE,5h 24m,18h 36m
340,09:01,14:22,FALSE,5h 21m,18h 39m
341,09:03,14:21,FALSE,5h 18m,18h 42m
342,09:04,14:20,FALSE,5h 16m,18h 44m
343,09:06,14:19,FALSE,5h 13m,18h 47m
344,09:08,14:18,FALSE,5h 10m,18h 50m
345,09:09,14:17,FALSE,5h 8m,18h 52m
346,09:11,14:17,FALSE,5h 6m,18h 54m
347,09:12,14:16,FALSE,5h 4m,18h 56m
348,09:14,14:16,FALSE,5h 2m,18h 58m
349,09:15,14:16,FALSE,5h 1m,18h 59m
350,09:16,14:16,FALSE,5h 0m,19h 0m
351,09:17,14:16,FALSE,4h 59m,19h 1m
352,09:18,14:16,FALSE,4h 58m,19h 2m
353,09:18,14:16,FALSE,4h 58m,19h 2m
354,09:19,14:17,FALSE,4h 58m,19h 2m
355,09:19,14:17,FALSE,4h 58m,19h 2m
356,09:20,14:18,FALSE,4h 58m,19h 2m
357,09:20,14:18,FALSE,4h 58m,19h 2m
358,09:20,14:19,FALSE,4h 59m,19h 1m
359,09:20,14:20,FALSE,5h 0m,19h 0m
360,09:20,14:21,FALSE,5h 1m,18h 59m
361,09:20,14:22,FALSE,5h 2m,18h 58m
362,09:20,14:24,FALSE,5h 4m,18h 56m
363,09:19,14:25,FALSE,5h 6m,18h 54m
364,09:19,14:27,FALSE,5h 8m,18h 52m
365,09:18,14:28,FALSE,5h 10m,18h 50m
